,developer_id,developer_name
0,1,Valve
1,2,IndigoBlue Game Studio
2,3,NEXT Studios
3,4,Vertigo Gaming Inc.
4,5,DoubleC Games
5,6,IndieLeague Studio
6,7,七月九日
7,8,重庆环游者网络科技
8,9,Simon Codrington
9,10,Villain Role
10,11,海南众铖互娱网络科技有限公司
11,12,Kubold
12,13,LFiO Studio
13,14,Fireroot Studios
14,15,KillPixel
15,16,DarkDes Labs
16,17,Meadow Games
17,18,Amonga99
18,19,1337 Game Design
19,20,Hellride Games
20,21,CSM
21,22,White Puppet Studio
22,23,Team Clam
23,24,Victor Martinelli
24,25,Dahku
25,26,WASD Games
26,27,"Nikita ""Ghost_RUS"""
27,28,Missing Sentinel Software
28,29,Toka
29,30,AllianceInFaith
30,31,ShilohGames
31,32,Colugo Productions Inc.
32,33,ProblemGamer Productions
33,34,Sonic-Alpha
34,35,Koopa Yao
35,36,Gun Beat
36,37,泥亾
37,38,Ancient Forge
38,39,Dotoyou Games
39,40,VRANI inc.
40,41,Resolution Games
41,42,Tap by Tap
42,43,Wayway Studio
43,44,Cavern Head
44,45,Thetis Games
45,46,Tadpole Interactive
46,47,Daemon Cat
47,48,Ladia Group
48,49,WINXP Studio
49,50,Choice of Games
50,51,MAP Design Lab
51,52,Reframe Games Inc.
52,53,Digital Melody
53,54,Brian Wilson
54,55,YMCAT/Regista
55,56,Io Normal
56,57,smartphone-games
57,58,Gerard Milmore
58,59,Andrew Jong
59,60,Sean Chiem
60,61,Art Of Adventures
61,62,TurtleBlaze
62,63,Action Portal
63,64,Daniel Brendel
64,65,Stolen Shoes Entertainment
65,66,Blender Games
66,67,Ironsmith Studios Ltd
67,68,Keydare Project
68,69,Mykhail Konokh
69,70,InsaneHawk
70,71,Artists Entertainment
71,72,Rostislavs Lihacs
72,73,Mark Healey
73,74,Massive Miniteam
74,75,Three Dots
75,76,Laush Dmitriy Sergeevich
76,77,Dharker Studio
77,78,LOVATTO STUDIO
78,79,SCOTIA 3D
79,80,CHOBI GLASS
80,81,Marginal act
81,82,LixiaoYao
82,83,le8 stdio
83,84,Koker_007
84,85,Lazy Turtle Games
85,86,绮梦妄想社
86,87,HANNMADE Studios
87,88,Jiruo Software
88,89,Matthieu Gouby
89,90,Shindenken
90,91,Strange Journey
91,92,Blue Callisto
92,93,Titanomachy Studios
93,94,FlagmanJeremy
94,95,KFA-Games
95,96,Hangover Cat Purrroduction
96,97,Eggy
97,98,Gampixi
98,99,#workshop
99,100,Panther Studio
100,101,quadape
101,102,Paul Kohler
102,103,Storyyeller Games
103,104,Better Games LLC
104,105,HyperKat
105,106,Shiny Vacation
106,107,Kobold Workforce Studios
107,108,Team Overbloom
108,109,Inner Realm Studios
109,110,Ancient War Studios
110,111,HYPER GATE
111,112,MAMMOSSIX Co.
112,113,Ltd.
113,114,VizionEck LLC
114,115,西安乐趣软件科技有限公司
115,116,HQGames
116,117,HQ Games
117,118,Logic Games
118,119,LeonWaan Games
119,120,Total ArKade Software
